npc_id,parent_id,quest_id,step_id,role,event_type,config_name,prompt_tokens,context_tokens,retrieved_tokens,tool_tokens,reasoning_tokens,output_tokens,latency_ms,cost_usd,passed,timestamp
A:npc,,wrong_return_in_loop__flatten_list__novel_b::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T11:10:53.512047+00:00
A:npc,b2b0e1207a0846a9b54be5ec15851b1c,wrong_return_in_loop__flatten_list__novel_b::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T11:10:53.512821+00:00
A:worker,79c427df7d324681bb7e322ba5915f9a,wrong_return_in_loop__flatten_list__novel_b::A,3,worker,PROMPT_BUILT,A,142,142,0,,,,,,,2026-08-18T11:10:53.707122+00:00
A:worker,42f9a9564afa49bc805c906428e9a463,wrong_return_in_loop__flatten_list__novel_b::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T11:10:53.707616+00:00
A:worker,791d48ca71fc4e4fa3cc2848a92bb368,wrong_return_in_loop__flatten_list__novel_b::A,5,worker,MODEL_CALL_FINISHED,A,142,,,,722,61,4427.366199961398,0.0,,2026-08-18T11:10:58.135364+00:00
A:checker,6763eadb52894d3598008f448e14ed32,wrong_return_in_loop__flatten_list__novel_b::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T11:10:58.647910+00:00
A:npc,1f8c3f2927e4416294c8e995bfbec5b7,wrong_return_in_loop__flatten_list__novel_b::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T11:10:58.648875+00:00
B:npc,,wrong_return_in_loop__flatten_list__novel_b::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T11:10:58.649323+00:00
B:npc,4eec7e710ece46d8add720e7e6918cdb,wrong_return_in_loop__flatten_list__novel_b::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T11:10:58.649866+00:00
B:worker,715ae3dce72c4eef94b87952eb8adf4e,wrong_return_in_loop__flatten_list__novel_b::B,3,worker,PROMPT_BUILT,B,142,142,0,,,,,,,2026-08-18T11:10:58.794242+00:00
B:worker,bcef76f16e5144c1af31a3b4cd7e69d6,wrong_return_in_loop__flatten_list__novel_b::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T11:10:58.794842+00:00
B:worker,1bd3fc17453d48f085ea893226b8a6dd,wrong_return_in_loop__flatten_list__novel_b::B,5,worker,MODEL_CALL_FINISHED,B,142,,,,,61,654.2375000426546,0.0,,2026-08-18T11:10:59.449565+00:00
B:checker,bd45aea0d1e142cb8fd7b789ca7fb593,wrong_return_in_loop__flatten_list__novel_b::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T11:10:59.951022+00:00
B:npc,f413553e64dc4b708305e9c563ee35bf,wrong_return_in_loop__flatten_list__novel_b::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T11:10:59.952208+00:00
F:npc,,wrong_return_in_loop__flatten_list__novel_b::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T11:10:59.952730+00:00
F:npc,9179d77fc8f04a55a06d705baad92ad8,wrong_return_in_loop__flatten_list__novel_b::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T11:10:59.953276+00:00
F:librarian,ed815b7625e344359c1a1c60eccbeea0,wrong_return_in_loop__flatten_list__novel_b::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T11:11:00.035596+00:00
F:librarian,2016af2caf274c539b7f3b1f0e2e0ad1,wrong_return_in_loop__flatten_list__novel_b::F,4,librarian,RETRIEVAL_RESULT,F,0,142,0,,,0,,,,2026-08-18T11:11:00.123872+00:00
F:worker,35ee1852bd194ec4bd14e58b3ac1f1fa,wrong_return_in_loop__flatten_list__novel_b::F,5,worker,PROMPT_BUILT,F,142,142,0,,,,,,,2026-08-18T11:11:00.124435+00:00
F:worker,17ab78b2b28c4e098ed30d237aaa892a,wrong_return_in_loop__flatten_list__novel_b::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T11:11:00.124738+00:00
F:worker,5692bf2be0884610b611f63766c7302f,wrong_return_in_loop__flatten_list__novel_b::F,7,worker,MODEL_CALL_FINISHED,F,142,,,,,61,697.7996000205167,0.0,,2026-08-18T11:11:00.822878+00:00
F:checker,129062a61be7400a8ae0a3637e6dbfd9,wrong_return_in_loop__flatten_list__novel_b::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T11:11:01.331029+00:00
F:npc,cc02aaa8ae324456bb82600e1350056c,wrong_return_in_loop__flatten_list__novel_b::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T11:11:01.331859+00:00
A:npc,,mutable_default_argument__flatten_list__variant::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T11:11:01.332266+00:00
A:npc,1a18a7bfc66e43d6ad8fff920663eca3,mutable_default_argument__flatten_list__variant::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T11:11:01.332746+00:00
A:worker,9168189131d645128ca974523074fa95,mutable_default_argument__flatten_list__variant::A,3,worker,PROMPT_BUILT,A,140,140,0,,,,,,,2026-08-18T11:11:01.417283+00:00
A:worker,a90f57130f96479bbacfdbd62d8fc140,mutable_default_argument__flatten_list__variant::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T11:11:01.417877+00:00
A:worker,91d436d841584da38c75130e5799bc21,mutable_default_argument__flatten_list__variant::A,5,worker,MODEL_CALL_FINISHED,A,140,,,,1518,70,16238.803300017025,0.0,,2026-08-18T11:12:17.657090+00:00
A:checker,99603f8b5f814a7d8430dd0ce312ffc4,mutable_default_argument__flatten_list__variant::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T11:12:18.190921+00:00
A:npc,0d149f3fd6f04556b86f9013b6660af5,mutable_default_argument__flatten_list__variant::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T11:12:18.191853+00:00
B:npc,,mutable_default_argument__flatten_list__variant::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T11:12:18.192251+00:00
B:npc,28378800f13346f290ccbed00b2c15e4,mutable_default_argument__flatten_list__variant::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T11:12:18.192592+00:00
B:worker,81d3d0d66c044d3db1271d35073ce50c,mutable_default_argument__flatten_list__variant::B,3,worker,PROMPT_BUILT,B,140,140,0,,,,,,,2026-08-18T11:12:18.346049+00:00
B:worker,2dbb2f6048f84ac4a47e60986df15ddf,mutable_default_argument__flatten_list__variant::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T11:12:18.346945+00:00
B:worker,a6e0b0ab726940148d0c6d430360d911,mutable_default_argument__flatten_list__variant::B,5,worker,MODEL_CALL_FINISHED,B,140,,,,,70,747.3653999622911,0.0,,2026-08-18T11:12:19.094884+00:00
B:checker,c83c8310b7df4fbeb6196f377e88fb57,mutable_default_argument__flatten_list__variant::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T11:12:19.625687+00:00
B:npc,bae1c423e5ed4f66971f2b1329a9be2e,mutable_default_argument__flatten_list__variant::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T11:12:19.626680+00:00
F:npc,,mutable_default_argument__flatten_list__variant::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T11:12:19.627104+00:00
F:npc,656ad7fdfae444b180c1f99366b8086b,mutable_default_argument__flatten_list__variant::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T11:12:19.627426+00:00
F:librarian,fa2e79b3ccdc4b5bb21866af6ea98c66,mutable_default_argument__flatten_list__variant::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T11:12:19.705001+00:00
F:librarian,189bf4dfd2e0487f98bdc8f992428717,mutable_default_argument__flatten_list__variant::F,4,librarian,RETRIEVAL_RESULT,F,0,140,291,,,0,,,,2026-08-18T11:12:19.786993+00:00
F:worker,8970eaacbfe447faaeb7b884ed292a6d,mutable_default_argument__flatten_list__variant::F,5,worker,PROMPT_BUILT,F,431,140,291,,,,,,,2026-08-18T11:12:19.787674+00:00
F:worker,b329a3ae166b48c8a3b5792d7cfd3d8c,mutable_default_argument__flatten_list__variant::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T11:12:19.788067+00:00
F:worker,468c4ac88d8a467e9d8e2ba8adc7b2e6,mutable_default_argument__flatten_list__variant::F,7,worker,MODEL_CALL_FINISHED,F,431,,,,,68,807.0588000118732,0.0,,2026-08-18T11:12:20.595544+00:00
F:checker,35547a951f5b4c0494a1abb66cbf5993,mutable_default_argument__flatten_list__variant::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T11:12:21.116211+00:00
F:npc,1cb4092c85bd4ef1800b7ee3e69f1f02,mutable_default_argument__flatten_list__variant::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T11:12:21.116935+00:00
A:npc,,wrong_comparison_operator__merge_intervals__known_example::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T11:12:21.117280+00:00
A:npc,662025bcc0714ab992496f89f532190c,wrong_comparison_operator__merge_intervals__known_example::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T11:12:21.117854+00:00
A:worker,389fa1f4379648c5ba7d7f88d0a58adc,wrong_comparison_operator__merge_intervals__known_example::A,3,worker,PROMPT_BUILT,A,196,196,0,,,,,,,2026-08-18T11:12:21.198972+00:00
A:worker,683788643e7e4ef8aa21512490be0943,wrong_comparison_operator__merge_intervals__known_example::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T11:12:21.199868+00:00
A:worker,163fa7be45084e2287446e039c6c01a1,wrong_comparison_operator__merge_intervals__known_example::A,5,worker,MODEL_CALL_FINISHED,A,196,,,,1565,111,8866.749099979643,0.0,,2026-08-18T11:12:30.067096+00:00
A:checker,31e6ae5d594349b39c5666199f4011ed,wrong_comparison_operator__merge_intervals__known_example::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T11:12:30.578019+00:00
A:npc,7648196d041e44829a3957534f1751a9,wrong_comparison_operator__merge_intervals__known_example::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T11:12:30.579053+00:00
B:npc,,wrong_comparison_operator__merge_intervals__known_example::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T11:12:30.579627+00:00
B:npc,0b1840058fd04a849af479eb72735591,wrong_comparison_operator__merge_intervals__known_example::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T11:12:30.580129+00:00
B:worker,a798a5c2684e4507ac9a14c4b06ac902,wrong_comparison_operator__merge_intervals__known_example::B,3,worker,PROMPT_BUILT,B,196,196,0,,,,,,,2026-08-18T11:12:30.712370+00:00
B:worker,08e2086fc6a44a41a56cb56a81063187,wrong_comparison_operator__merge_intervals__known_example::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T11:12:30.713136+00:00
B:worker,edc8d641fc9244cb9551207510fbd348,wrong_comparison_operator__merge_intervals__known_example::B,5,worker,MODEL_CALL_FINISHED,B,196,,,,,111,799.7238999814726,0.0,,2026-08-18T11:12:31.513333+00:00
B:checker,52927239a67a4668862753c579f8cc7e,wrong_comparison_operator__merge_intervals__known_example::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T11:12:32.011435+00:00
B:npc,c8f67199ea4b46fda4627e7f81f8fb5e,wrong_comparison_operator__merge_intervals__known_example::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T11:12:32.012388+00:00
F:npc,,wrong_comparison_operator__merge_intervals__known_example::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T11:12:32.012860+00:00
F:npc,2bdaf7706b2e4c49a6cee86f6f576a46,wrong_comparison_operator__merge_intervals__known_example::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T11:12:32.013483+00:00
