quest_id,task_id,config_name,split,npc_calls,correctness,verification,latency_s,input_cost,reasoning_cost,output_cost,cost_usd,retries,timestamp
wrong_return_in_loop__flatten_list__novel_b::A,wrong_return_in_loop__flatten_list__novel_b,A,NOVEL,1,1.0,PASS,8.628,142,2059,61,0.0,0,2026-08-18T11:55:29.958474+00:00
wrong_return_in_loop__flatten_list__novel_b::B,wrong_return_in_loop__flatten_list__novel_b,B,NOVEL,1,1.0,PASS,0.623,142,0,61,0.0,0,2026-08-18T11:55:31.198795+00:00
wrong_return_in_loop__flatten_list__novel_b::F,wrong_return_in_loop__flatten_list__novel_b,F,NOVEL,1,1.0,PASS,0.621,142,0,61,0.0,0,2026-08-18T11:55:32.484502+00:00
mutable_default_argument__flatten_list__variant::A,mutable_default_argument__flatten_list__variant,A,VARIANT,1,1.0,PASS,7.456,140,1645,70,0.0,0,2026-08-18T11:55:40.524029+00:00
mutable_default_argument__flatten_list__variant::B,mutable_default_argument__flatten_list__variant,B,VARIANT,1,1.0,PASS,1.355,140,0,70,0.0,0,2026-08-18T11:55:42.563521+00:00
mutable_default_argument__flatten_list__variant::F,mutable_default_argument__flatten_list__variant,F,VARIANT,1,1.0,PASS,0.67,553,0,72,0.0,0,2026-08-18T11:55:43.882370+00:00
wrong_comparison_operator__merge_intervals__known_example::A,wrong_comparison_operator__merge_intervals__known_example,A,KNOWN,1,1.0,PASS,4.823,196,984,111,0.0,0,2026-08-18T11:55:49.284505+00:00
wrong_comparison_operator__merge_intervals__known_example::B,wrong_comparison_operator__merge_intervals__known_example,B,KNOWN,1,1.0,PASS,2.181,196,0,111,0.0,0,2026-08-18T11:55:52.114518+00:00
wrong_comparison_operator__merge_intervals__known_example::F,wrong_comparison_operator__merge_intervals__known_example,F,KNOWN,1,1.0,PASS,2.971,484,0,111,0.0,0,2026-08-18T11:55:55.713309+00:00
index_out_of_range_boundary__binary_search__variant::A,index_out_of_range_boundary__binary_search__variant,A,VARIANT,1,1.0,PASS,4.497,180,994,98,0.0,0,2026-08-18T11:56:00.866087+00:00
index_out_of_range_boundary__binary_search__variant::B,index_out_of_range_boundary__binary_search__variant,B,VARIANT,1,1.0,PASS,0.766,180,0,98,0.0,0,2026-08-18T11:56:02.306423+00:00
index_out_of_range_boundary__binary_search__variant::F,index_out_of_range_boundary__binary_search__variant,F,VARIANT,1,1.0,PASS,1.646,595,0,98,0.0,0,2026-08-18T11:56:04.620194+00:00
inverted_boolean_logic__is_valid_password__variant::A,inverted_boolean_logic__is_valid_password__variant,A,VARIANT,1,1.0,PASS,1.78,146,244,59,0.0,0,2026-08-18T11:56:06.980369+00:00
inverted_boolean_logic__is_valid_password__variant::B,inverted_boolean_logic__is_valid_password__variant,B,VARIANT,1,1.0,PASS,3.339,146,0,59,0.0,0,2026-08-18T11:56:10.918015+00:00
inverted_boolean_logic__is_valid_password__variant::F,inverted_boolean_logic__is_valid_password__variant,F,VARIANT,1,1.0,PASS,0.637,572,0,59,0.0,0,2026-08-18T11:56:12.199690+00:00
wrong_accumulator_init__count_vowels__known_example::A,wrong_accumulator_init__count_vowels__known_example,A,KNOWN,1,1.0,PASS,1.854,142,258,56,0.0,0,2026-08-18T11:56:14.685243+00:00
wrong_accumulator_init__count_vowels__known_example::B,wrong_accumulator_init__count_vowels__known_example,B,KNOWN,1,1.0,PASS,1.008,142,0,56,0.0,0,2026-08-18T11:56:16.259849+00:00
wrong_accumulator_init__count_vowels__known_example::F,wrong_accumulator_init__count_vowels__known_example,F,KNOWN,1,1.0,PASS,0.73,568,0,56,0.0,0,2026-08-18T11:56:17.668633+00:00
variable_shadowing__rolling_average__novel_a::A,variable_shadowing__rolling_average__novel_a,A,NOVEL,1,1.0,PASS,5.884,158,1425,64,0.0,0,2026-08-18T11:56:24.118607+00:00
variable_shadowing__rolling_average__novel_a::B,variable_shadowing__rolling_average__novel_a,B,NOVEL,1,1.0,PASS,0.683,158,0,75,0.0,0,2026-08-18T11:56:25.438657+00:00
variable_shadowing__rolling_average__novel_a::F,variable_shadowing__rolling_average__novel_a,F,NOVEL,1,1.0,PASS,4.73,158,0,77,0.0,0,2026-08-18T11:56:30.831960+00:00
incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b,A,NOVEL,1,1.0,PASS,2.863,152,424,61,0.0,0,2026-08-18T11:56:34.337963+00:00
incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b,B,NOVEL,1,1.0,PASS,0.652,152,0,61,0.0,0,2026-08-18T11:56:35.546185+00:00
incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b,F,NOVEL,1,1.0,PASS,4.659,152,0,61,0.0,0,2026-08-18T11:56:40.839649+00:00
integer_division_truncation__rolling_average__known_example::A,integer_division_truncation__rolling_average__known_example,A,KNOWN,1,1.0,PASS,17.783,150,3929,65,0.0,0,2026-08-18T11:56:59.249935+00:00
integer_division_truncation__rolling_average__known_example::B,integer_division_truncation__rolling_average__known_example,B,KNOWN,1,1.0,PASS,2.879,150,0,65,0.0,0,2026-08-18T11:57:02.718092+00:00
integer_division_truncation__rolling_average__known_example::F,integer_division_truncation__rolling_average__known_example,F,KNOWN,1,1.0,PASS,0.626,566,0,65,0.0,0,2026-08-18T11:57:03.995179+00:00
wrong_accumulator_init__reverse_words__variant::A,wrong_accumulator_init__reverse_words__variant,A,VARIANT,1,1.0,PASS,5.107,137,1100,51,0.0,0,2026-08-18T11:57:09.720028+00:00
wrong_accumulator_init__reverse_words__variant::B,wrong_accumulator_init__reverse_words__variant,B,VARIANT,1,1.0,PASS,1.328,137,0,31,0.0,0,2026-08-18T11:57:11.669711+00:00
wrong_accumulator_init__reverse_words__variant::F,wrong_accumulator_init__reverse_words__variant,F,VARIANT,1,1.0,PASS,1.599,563,0,51,0.0,0,2026-08-18T11:57:13.929570+00:00
incorrect_sort_key_or_order__merge_intervals__novel_a::A,incorrect_sort_key_or_order__merge_intervals__novel_a,A,NOVEL,1,1.0,PASS,4.285,196,932,111,0.0,0,2026-08-18T11:57:18.796642+00:00
incorrect_sort_key_or_order__merge_intervals__novel_a::B,incorrect_sort_key_or_order__merge_intervals__novel_a,B,NOVEL,1,1.0,PASS,0.922,196,0,111,0.0,0,2026-08-18T11:57:20.336465+00:00
incorrect_sort_key_or_order__merge_intervals__novel_a::F,incorrect_sort_key_or_order__merge_intervals__novel_a,F,NOVEL,1,1.0,PASS,5.897,196,0,111,0.0,0,2026-08-18T11:57:26.868750+00:00
index_out_of_range_boundary__run_length_encode__known_example::A,index_out_of_range_boundary__run_length_encode__known_example,A,KNOWN,1,1.0,PASS,5.445,211,1204,120,0.0,0,2026-08-18T11:57:32.956222+00:00
index_out_of_range_boundary__run_length_encode__known_example::B,index_out_of_range_boundary__run_length_encode__known_example,B,KNOWN,1,1.0,PASS,0.868,211,0,120,0.0,0,2026-08-18T11:57:34.444375+00:00
index_out_of_range_boundary__run_length_encode__known_example::F,index_out_of_range_boundary__run_length_encode__known_example,F,KNOWN,1,1.0,PASS,1.674,626,0,120,0.0,0,2026-08-18T11:57:36.740375+00:00
floating_point_equality__average_matches_target__known_example::A,floating_point_equality__average_matches_target__known_example,A,KNOWN,1,0.0,FAIL,5.523,117,1104,40,0.0,0,2026-08-18T11:57:42.854247+00:00
floating_point_equality__average_matches_target__known_example::B,floating_point_equality__average_matches_target__known_example,B,KNOWN,1,0.0,FAIL,0.667,117,0,40,0.0,0,2026-08-18T11:57:44.180101+00:00
floating_point_equality__average_matches_target__known_example::F,floating_point_equality__average_matches_target__known_example,F,KNOWN,1,1.0,PASS,0.7,1025,0,49,0.0,0,2026-08-18T11:57:45.518712+00:00
off_by_one__rolling_average__variant::A,off_by_one__rolling_average__variant,A,VARIANT,1,1.0,PASS,8.934,147,2146,65,0.0,0,2026-08-18T11:57:55.018423+00:00
off_by_one__rolling_average__variant::B,off_by_one__rolling_average__variant,B,VARIANT,1,1.0,PASS,2.046,147,0,65,0.0,0,2026-08-18T11:57:57.685208+00:00
off_by_one__rolling_average__variant::F,off_by_one__rolling_average__variant,F,VARIANT,1,1.0,PASS,0.736,453,0,65,0.0,0,2026-08-18T11:57:59.067745+00:00
floating_point_equality__temperature_reached__variant::A,floating_point_equality__temperature_reached__variant,A,VARIANT,1,1.0,PASS,18.072,106,3929,28,0.0,0,2026-08-18T11:58:17.687947+00:00
floating_point_equality__temperature_reached__variant::B,floating_point_equality__temperature_reached__variant,B,VARIANT,1,1.0,PASS,1.662,106,0,28,0.0,0,2026-08-18T11:58:19.996732+00:00
floating_point_equality__temperature_reached__variant::F,floating_point_equality__temperature_reached__variant,F,VARIANT,1,1.0,PASS,0.601,1014,0,37,0.0,0,2026-08-18T11:58:21.281427+00:00
mutable_default_argument__dedupe_preserve_order__known_example::A,mutable_default_argument__dedupe_preserve_order__known_example,A,KNOWN,1,1.0,PASS,4.275,145,755,83,0.0,0,2026-08-18T11:58:26.108874+00:00
mutable_default_argument__dedupe_preserve_order__known_example::B,mutable_default_argument__dedupe_preserve_order__known_example,B,KNOWN,1,1.0,PASS,5.427,145,0,61,0.0,0,2026-08-18T11:58:32.171452+00:00
mutable_default_argument__dedupe_preserve_order__known_example::F,mutable_default_argument__dedupe_preserve_order__known_example,F,KNOWN,1,1.0,PASS,2.492,558,0,81,0.0,0,2026-08-18T11:58:35.320916+00:00
variable_shadowing__reverse_words__novel_b::A,variable_shadowing__reverse_words__novel_b,A,NOVEL,1,1.0,PASS,8.163,147,1688,31,0.0,0,2026-08-18T11:58:44.093685+00:00
variable_shadowing__reverse_words__novel_b::B,variable_shadowing__reverse_words__novel_b,B,NOVEL,1,1.0,PASS,0.698,147,0,31,0.0,0,2026-08-18T11:58:45.420668+00:00
variable_shadowing__reverse_words__novel_b::F,variable_shadowing__reverse_words__novel_b,F,NOVEL,1,1.0,PASS,2.297,147,0,42,0.0,0,2026-08-18T11:58:48.354388+00:00
integer_division_truncation__binary_search__variant::A,integer_division_truncation__binary_search__variant,A,VARIANT,1,1.0,PASS,2.645,183,436,98,0.0,0,2026-08-18T11:58:51.535479+00:00
integer_division_truncation__binary_search__variant::B,integer_division_truncation__binary_search__variant,B,VARIANT,1,1.0,PASS,0.905,183,0,98,0.0,0,2026-08-18T11:58:52.994330+00:00
integer_division_truncation__binary_search__variant::F,integer_division_truncation__binary_search__variant,F,VARIANT,1,1.0,PASS,0.792,599,0,98,0.0,0,2026-08-18T11:58:54.437105+00:00
inverted_boolean_logic__is_leap_year__known_example::A,inverted_boolean_logic__is_leap_year__known_example,A,KNOWN,1,1.0,PASS,2.324,145,453,48,0.0,0,2026-08-18T11:58:57.288640+00:00
inverted_boolean_logic__is_leap_year__known_example::B,inverted_boolean_logic__is_leap_year__known_example,B,KNOWN,1,1.0,PASS,0.649,145,0,48,0.0,0,2026-08-18T11:58:58.544260+00:00
inverted_boolean_logic__is_leap_year__known_example::F,inverted_boolean_logic__is_leap_year__known_example,F,KNOWN,1,1.0,PASS,0.942,571,0,48,0.0,0,2026-08-18T11:59:00.164726+00:00
off_by_one__binary_search__known_example::A,off_by_one__binary_search__known_example,A,KNOWN,1,1.0,PASS,4.964,183,962,98,0.0,3,2026-08-18T12:00:03.737868+00:00
off_by_one__binary_search__known_example::B,off_by_one__binary_search__known_example,B,KNOWN,1,1.0,PASS,0.76,183,0,98,0.0,0,2026-08-18T12:00:05.160189+00:00
